timestamp,value_CVS,value_CRM,value_GOOG,value_UPS,value_IBM,value_AMZN,value_KO,value_FB,value_AAPL,value_PFE
2015-02-27 02:47:53,0,4,31.0,2,5,85.0,14.0,70.0,48,2
2015-02-27 02:52:53,0,2,30.0,5,2,79.0,26.0,36.0,42,1
2015-02-27 02:57:53,0,0,35.0,3,8,82.0,5.0,39.0,35,1
2015-02-27 03:02:53,1,2,23.0,3,0,60.0,4.0,28.0,37,0
2015-02-27 03:07:53,1,2,49.0,1,9,47.0,19.0,40.0,35,3
2015-02-27 03:12:53,0,3,187.0,3,9,43.0,18.0,176.0,33,3
2015-02-27 03:17:53,0,1,203.0,4,1,49.0,14.0,205.0,44,0
2015-02-27 03:22:53,0,3,175.0,2,8,60.0,15.0,164.0,93,0
2015-02-27 03:27:53,0,2,112.0,3,2,55.0,31.0,116.0,107,0
2015-02-27 03:32:53,1,3,22.0,2,2,63.0,12.0,14.0,67,0
2015-02-27 03:37:53,0,1,24.0,0,2,57.0,8.0,23.0,77,1
2015-02-27 03:42:53,0,2,12.0,3,1,61.0,12.0,18.0,42,0
2015-02-27 03:47:53,0,4,26.0,2,3,59.0,10.0,17.0,41,0
2015-02-27 03:52:53,0,1,16.0,5,2,35.0,8.0,18.0,41,1
2015-02-27 03:57:53,0,1,14.0,2,4,69.0,14.0,19.0,61,0
2015-02-27 04:02:53,1,2,19.0,1,3,48.0,10.0,18.0,44,0
2015-02-27 04:07:53,0,0,21.0,0,1,47.0,9.0,21.0,27,1
2015-02-27 04:12:53,0,1,18.0,0,2,44.0,6.0,21.0,37,1
2015-02-27 04:17:53,0,0,12.0,0,1,47.0,9.0,15.0,36,1
2015-02-27 04:22:53,3,2,25.0,1,1,51.0,14.0,11.0,49,0
2015-02-27 04:27:53,0,2,17.0,0,3,54.0,8.0,22.0,36,0
2015-02-27 04:32:53,0,1,21.0,1,2,41.0,10.0,13.0,41,0
2015-02-27 04:37:53,0,2,18.0,4,1,53.0,10.0,5.0,32,1
2015-02-27 04:42:53,0,1,22.0,1,2,49.0,8.0,18.0,50,2
2015-02-27 04:47:53,0,2,23.0,0,3,23.0,8.0,16.0,43,0
2015-02-27 04:52:53,0,2,26.0,0,4,31.0,8.0,14.0,50,0
2015-02-27 04:57:53,2,3,33.0,0,60,38.0,5.0,19.0,47,0
2015-02-27 05:02:53,2,3,26.0,1,0,57.0,10.0,14.0,50,0
2015-02-27 05:07:53,0,2,16.0,0,2,56.0,4.0,7.0,45,2
2015-02-27 05:12:53,0,2,15.0,1,1,70.0,24.0,17.0,56,1
2015-02-27 05:17:53,0,1,7.0,5,1,57.0,54.0,10.0,40,0
2015-02-27 05:22:53,0,0,14.0,2,1,64.0,82.0,12.0,32,1
2015-02-27 05:27:53,0,1,11.0,1,0,79.0,25.0,23.0,57,0
2015-02-27 05:32:53,0,2,31.0,2,6,65.0,19.0,11.0,73,0
2015-02-27 05:37:53,0,2,15.0,2,4,70.0,26.0,16.0,49,0
2015-02-27 05:42:53,0,1,15.0,0,2,51.0,7.0,8.0,59,0
2015-02-27 05:47:53,1,3,15.0,0,1,43.0,11.0,14.0,140,0
2015-02-27 05:52:53,0,8,25.0,0,2,60.0,8.0,11.0,56,0
2015-02-27 05:57:53,0,7,34.0,1,3,49.0,18.0,9.0,44,0
2015-02-27 06:02:53,1,6,20.0,0,1,37.0,8.0,6.0,38,1
2015-02-27 06:07:53,1,3,15.0,0,5,54.0,7.0,12.0,37,0
2015-02-27 06:12:53,0,7,16.0,3,2,58.0,12.0,20.0,28,0
2015-02-27 06:17:53,0,3,18.0,2,2,67.0,8.0,5.0,30,0
2015-02-27 06:22:53,0,4,6.0,1,7,72.0,8.0,8.0,32,0
2015-02-27 06:27:53,0,2,10.0,1,0,49.0,9.0,11.0,38,0
2015-02-27 06:32:53,2,2,20.0,0,0,45.0,4.0,14.0,47,0
2015-02-27 06:37:53,0,5,14.0,5,1,48.0,6.0,8.0,31,0
2015-02-27 06:42:53,0,1,11.0,0,1,29.0,7.0,8.0,30,0
2015-02-27 06:47:53,2,0,27.0,1,1,23.0,5.0,13.0,26,0
2015-02-27 06:52:53,0,0,7.0,0,1,26.0,11.0,13.0,20,1
2015-02-27 06:57:53,0,2,21.0,0,0,28.0,4.0,12.0,36,1
2015-02-27 07:02:53,0,4,16.0,1,1,27.0,10.0,7.0,28,0
2015-02-27 07:07:53,0,2,20.0,0,2,18.0,6.0,17.0,23,1
2015-02-27 07:12:53,0,0,11.0,1,0,37.0,5.0,18.0,15,0
2015-02-27 07:17:53,0,2,11.0,0,1,35.0,2.0,16.0,25,1
2015-02-27 07:22:53,0,0,21.0,0,3,25.0,10.0,11.0,20,1
2015-02-27 07:27:53,0,0,16.0,1,0,28.0,9.0,10.0,19,0
2015-02-27 07:32:53,0,5,16.0,0,0,27.0,6.0,7.0,19,0
2015-02-27 07:37:53,0,0,16.0,0,1,35.0,3.0,11.0,18,0
2015-02-27 07:42:53,0,1,18.0,1,2,41.0,3.0,6.0,21,0
2015-02-27 07:47:53,0,2,10.0,1,2,34.0,2.0,12.0,17,0
2015-02-27 07:52:53,0,5,13.0,1,1,42.0,4.0,6.0,11,0
2015-02-27 07:57:53,0,8,21.0,4,1,58.0,6.0,13.0,32,0
2015-02-27 08:02:53,0,0,18.0,4,5,59.0,6.0,25.0,13,1
2015-02-27 08:07:53,0,1,11.0,1,3,27.0,5.0,12.0,13,0
2015-02-27 08:12:53,0,0,17.0,1,3,49.0,12.0,7.0,31,2
2015-02-27 08:17:53,1,0,19.0,0,4,52.0,7.0,13.0,23,0
2015-02-27 08:22:53,0,2,8.0,1,2,25.0,6.0,5.0,19,0
2015-02-27 08:27:53,0,3,14.0,2,1,36.0,6.0,8.0,22,0
2015-02-27 08:32:53,0,2,18.0,1,2,31.0,7.0,10.0,18,0
2015-02-27 08:37:53,0,2,13.0,2,2,23.0,4.0,8.0,23,0
2015-02-27 08:42:53,0,3,16.0,2,3,24.0,3.0,10.0,42,0
2015-02-27 08:47:53,0,2,18.0,0,2,10.0,3.0,7.0,14,0
2015-02-27 08:52:53,0,0,8.0,0,4,27.0,4.0,6.0,14,0
2015-02-27 08:57:53,0,8,17.0,1,4,32.0,13.0,17.0,23,0
2015-02-27 09:02:53,0,2,28.0,2,0,17.0,8.0,18.0,15,0
2015-02-27 09:07:53,0,4,14.0,0,1,33.0,5.0,8.0,15,0
2015-02-27 09:12:53,1,3,14.0,3,1,40.0,9.0,11.0,11,0
2015-02-27 09:17:53,0,6,16.0,0,1,25.0,10.0,10.0,18,0
2015-02-27 09:22:53,0,1,9.0,1,2,16.0,7.0,14.0,11,0
2015-02-27 09:27:53,0,5,20.0,0,2,24.0,3.0,11.0,20,0
2015-02-27 09:32:53,0,4,17.0,0,3,37.0,5.0,16.0,26,0
2015-02-27 09:37:53,0,1,13.0,0,4,34.0,6.0,10.0,14,1
2015-02-27 09:42:53,0,0,22.0,0,0,60.0,4.0,8.0,17,0
2015-02-27 09:47:53,0,3,19.0,1,4,57.0,3.0,9.0,17,0
2015-02-27 09:52:53,0,3,19.0,0,1,62.0,5.0,8.0,18,0
2015-02-27 09:57:53,0,1,30.0,1,1,56.0,7.0,14.0,20,0
2015-02-27 10:02:53,0,1,12.0,1,5,68.0,6.0,15.0,22,0
2015-02-27 10:07:53,0,2,13.0,0,5,54.0,7.0,9.0,19,1
2015-02-27 10:12:53,0,2,13.0,0,7,49.0,2.0,13.0,31,1
2015-02-27 10:17:53,0,3,12.0,2,6,42.0,15.0,22.0,16,0
2015-02-27 10:22:53,0,1,13.0,0,2,39.0,12.0,8.0,17,2
2015-02-27 10:27:53,2,3,61.0,1,13,50.0,6.0,11.0,17,0
2015-02-27 10:32:53,0,3,12.0,1,2,47.0,5.0,17.0,27,0
2015-02-27 10:37:53,0,2,19.0,0,2,30.0,4.0,7.0,32,0
2015-02-27 10:42:53,0,2,34.0,2,0,40.0,7.0,11.0,27,0
2015-02-27 10:47:53,0,6,25.0,0,1,45.0,6.0,10.0,30,0
2015-02-27 10:52:53,0,1,19.0,2,0,37.0,3.0,13.0,21,0
2015-02-27 10:57:53,1,5,14.0,1,8,58.0,9.0,14.0,24,3
2015-02-27 11:02:53,0,7,17.0,0,2,35.0,7.0,15.0,29,1
2015-02-27 11:07:53,1,4,33.0,1,3,46.0,10.0,13.0,30,0
2015-02-27 11:12:53,0,3,19.0,0,1,37.0,6.0,13.0,14,0
2015-02-27 11:17:53,0,0,11.0,0,1,35.0,8.0,9.0,30,1
2015-02-27 11:22:53,0,1,9.0,0,2,50.0,8.0,12.0,10,2
2015-02-27 11:27:53,0,3,14.0,0,0,27.0,15.0,19.0,41,0
2015-02-27 11:32:53,2,2,22.0,2,4,54.0,9.0,19.0,18,0
2015-02-27 11:37:53,0,3,9.0,1,6,51.0,6.0,27.0,25,0
2015-02-27 11:42:53,0,8,21.0,1,5,41.0,10.0,28.0,44,0
2015-02-27 11:47:53,0,6,24.0,3,7,50.0,11.0,25.0,36,0
2015-02-27 11:52:53,0,3,10.0,0,2,90.0,10.0,17.0,16,0
2015-02-27 11:57:53,0,2,15.0,1,2,55.0,3.0,17.0,39,0
2015-02-27 12:02:53,0,3,19.0,0,6,57.0,6.0,12.0,19,0
2015-02-27 12:07:53,0,3,30.0,1,3,57.0,10.0,14.0,34,4
2015-02-27 12:12:53,0,3,36.0,0,4,71.0,10.0,16.0,42,1
2015-02-27 12:17:53,0,7,21.0,11,3,35.0,6.0,15.0,30,0
2015-02-27 12:22:53,0,3,24.0,0,5,28.0,4.0,15.0,24,0
2015-02-27 12:27:53,1,2,24.0,0,5,32.0,11.0,16.0,35,0
2015-02-27 12:32:53,0,3,21.0,0,4,32.0,5.0,10.0,34,1
2015-02-27 12:37:53,0,3,14.0,0,1,60.0,5.0,17.0,23,3
2015-02-27 12:42:53,0,1,22.0,1,0,32.0,6.0,15.0,50,1
2015-02-27 12:47:53,0,3,24.0,1,2,47.0,7.0,14.0,39,0
2015-02-27 12:52:53,0,6,20.0,4,3,38.0,9.0,18.0,32,0
2015-02-27 12:57:53,1,8,20.0,1,8,46.0,6.0,17.0,42,0
2015-02-27 13:02:53,0,5,20.0,0,3,54.0,7.0,17.0,38,1
2015-02-27 13:07:53,0,10,14.0,1,9,56.0,9.0,25.0,34,0
2015-02-27 13:12:53,2,1,19.0,1,3,63.0,10.0,28.0,42,0
2015-02-27 13:17:53,0,3,11.0,2,6,67.0,14.0,37.0,44,2
2015-02-27 13:22:53,0,3,12.0,2,6,68.0,11.0,31.0,53,1
2015-02-27 13:27:53,0,4,25.0,1,1,61.0,15.0,28.0,37,2
2015-02-27 13:32:53,1,4,15.0,3,1,44.0,21.0,21.0,29,2
2015-02-27 13:37:53,1,1,17.0,1,5,57.0,15.0,25.0,28,0
2015-02-27 13:42:53,1,3,10.0,1,6,61.0,5.0,24.0,41,1
2015-02-27 13:47:53,0,7,20.0,1,6,55.0,14.0,26.0,34,1
2015-02-27 13:52:53,1,3,14.0,3,4,66.0,19.0,10.0,37,1
2015-02-27 13:57:53,0,2,20.0,1,4,87.0,14.0,19.0,222,2
2015-02-27 14:02:53,0,7,14.0,0,7,68.0,7.0,12.0,46,0
2015-02-27 14:07:53,0,3,21.0,2,4,73.0,7.0,17.0,32,1
2015-02-27 14:12:53,0,3,15.0,4,9,66.0,8.0,17.0,37,0
2015-02-27 14:17:53,0,4,31.0,0,7,73.0,9.0,21.0,110,2
2015-02-27 14:22:53,0,2,29.0,11,2,100.0,15.0,27.0,65,2
2015-02-27 14:27:53,0,3,34.0,7,7,105.0,19.0,23.0,42,4
2015-02-27 14:32:53,0,4,30.0,3,7,90.0,11.0,23.0,54,2
2015-02-27 14:37:53,0,6,26.0,3,4,66.0,11.0,33.0,66,0
2015-02-27 14:42:53,0,5,21.0,6,7,64.0,18.0,29.0,46,3
2015-02-27 14:47:53,0,3,30.0,3,0,58.0,9.0,21.0,42,2
2015-02-27 14:52:53,0,6,24.0,3,4,70.0,6.0,37.0,38,0
2015-02-27 14:57:53,0,6,47.0,2,4,74.0,7.0,25.0,102,0
2015-02-27 15:02:53,0,4,21.0,4,10,48.0,14.0,33.0,92,0
2015-02-27 15:07:53,0,3,30.0,2,5,59.0,5.0,28.0,62,0
2015-02-27 15:12:53,1,7,27.0,2,5,69.0,6.0,38.0,62,0
2015-02-27 15:17:53,1,11,18.0,3,4,67.0,12.0,21.0,56,2
2015-02-27 15:22:53,0,16,40.0,2,6,40.0,17.0,23.0,86,0
2015-02-27 15:27:53,0,10,18.0,1,2,47.0,14.0,24.0,67,0
2015-02-27 15:32:53,0,4,20.0,2,9,42.0,20.0,19.0,62,2
2015-02-27 15:37:53,0,1,23.0,0,1,153.0,9.0,20.0,56,0
2015-02-27 15:42:53,2,4,14.0,6,3,67.0,20.0,25.0,61,0
2015-02-27 15:47:53,0,4,20.0,1,8,73.0,15.0,20.0,58,0
2015-02-27 15:52:53,0,3,22.0,2,9,58.0,3.0,30.0,52,1
2015-02-27 15:57:53,0,9,28.0,3,6,97.0,11.0,42.0,50,0
2015-02-27 16:02:53,0,4,18.0,1,8,99.0,10.0,36.0,51,1
2015-02-27 16:07:53,0,2,19.0,3,4,65.0,20.0,31.0,47,0
2015-02-27 16:12:53,0,5,27.0,1,3,82.0,15.0,29.0,41,2
2015-02-27 16:17:53,0,1,30.0,4,2,66.0,10.0,34.0,52,1
2015-02-27 16:22:53,1,6,23.0,5,3,44.0,19.0,26.0,37,2
2015-02-27 16:27:53,0,7,17.0,8,10,65.0,15.0,20.0,68,0
2015-02-27 16:32:53,1,9,24.0,8,3,75.0,17.0,22.0,68,1
2015-02-27 16:37:53,0,9,18.0,0,2,50.0,8.0,21.0,109,0
2015-02-27 16:42:53,0,2,27.0,4,2,62.0,9.0,20.0,80,0
2015-02-27 16:47:53,2,6,42.0,3,8,57.0,15.0,20.0,108,2
2015-02-27 16:52:53,0,4,22.0,3,7,102.0,18.0,22.0,65,0
2015-02-27 16:57:53,6,3,100.0,11,10,80.0,19.0,77.0,172,3
2015-02-27 17:02:53,2,16,67.0,7,4,84.0,18.0,50.0,172,1
2015-02-27 17:07:53,1,8,43.0,11,1,104.0,13.0,37.0,271,0
2015-02-27 17:12:53,0,3,43.0,5,4,76.0,6.0,20.0,456,0
2015-02-27 17:17:53,1,2,24.0,4,4,71.0,9.0,27.0,440,1
2015-02-27 17:22:53,0,7,22.0,3,6,49.0,8.0,20.0,477,1
2015-02-27 17:27:53,0,6,43.0,9,13,103.0,14.0,40.0,426,2
2015-02-27 17:32:53,1,7,39.0,5,6,134.0,10.0,28.0,284,3
2015-02-27 17:37:53,2,8,37.0,4,4,106.0,14.0,31.0,159,0
2015-02-27 17:42:53,0,7,41.0,4,4,127.0,10.0,26.0,112,0
2015-02-27 17:47:53,0,9,25.0,5,8,93.0,15.0,29.0,118,1
2015-02-27 17:52:53,0,5,24.0,4,6,84.0,9.0,16.0,70,0
2015-02-27 17:57:53,0,10,63.0,2,7,56.0,22.0,41.0,59,0
2015-02-27 18:02:53,1,5,80.0,5,1,61.0,22.0,29.0,51,2
2015-02-27 18:07:53,0,5,48.0,3,5,57.0,16.0,22.0,63,0
2015-02-27 18:12:53,0,10,58.0,5,10,45.0,7.0,17.0,45,2
2015-02-27 18:17:53,0,6,52.0,6,12,54.0,13.0,24.0,108,0
2015-02-27 18:22:53,0,7,44.0,5,5,64.0,16.0,25.0,68,0
2015-02-27 18:27:53,0,6,68.0,5,9,74.0,14.0,19.0,105,0
2015-02-27 18:32:53,0,3,58.0,1,16,56.0,20.0,216.0,52,1
2015-02-27 18:37:53,0,3,112.0,3,9,73.0,9.0,326.0,95,0
2015-02-27 18:42:53,0,2,77.0,4,5,84.0,14.0,125.0,111,1
2015-02-27 18:47:53,0,1,46.0,3,12,57.0,14.0,110.0,116,0
2015-02-27 18:52:53,0,11,202.0,3,5,63.0,20.0,85.0,155,0
2015-02-27 18:57:53,0,22,105.0,4,11,70.0,14.0,100.0,141,1
2015-02-27 19:02:53,0,12,60.0,4,6,74.0,20.0,81.0,115,0
2015-02-27 19:07:53,0,5,61.0,4,8,57.0,17.0,75.0,137,0
2015-02-27 19:12:53,0,6,55.0,1,4,62.0,20.0,93.0,112,2
2015-02-27 19:17:53,1,6,34.0,8,4,69.0,24.0,75.0,113,3
2015-02-27 19:22:53,1,4,35.0,1,5,61.0,8.0,63.0,136,0
2015-02-27 19:27:53,2,9,61.0,4,4,66.0,16.0,71.0,119,1
2015-02-27 19:32:53,1,2,47.0,3,1,65.0,7.0,79.0,97,1
2015-02-27 19:37:53,0,2,30.0,5,14,55.0,11.0,85.0,102,1
2015-02-27 19:42:53,0,4,37.0,5,12,54.0,7.0,72.0,101,0
2015-02-27 19:47:53,0,8,41.0,2,9,55.0,10.0,61.0,96,1
2015-02-27 19:52:53,0,3,54.0,5,5,53.0,6.0,72.0,87,0
2015-02-27 19:57:53,0,7,35.0,6,7,67.0,9.0,322.0,93,1
2015-02-27 20:02:53,0,10,39.0,1,5,70.0,9.0,214.0,103,1
2015-02-27 20:07:53,0,6,54.0,7,6,76.0,10.0,167.0,96,0
2015-02-27 20:12:53,0,7,116.0,4,11,67.0,6.0,130.0,99,0
2015-02-27 20:17:53,1,3,77.0,3,4,110.0,10.0,149.0,110,2
2015-02-27 20:22:53,0,1,75.0,4,4,41.0,21.0,139.0,90,0
2015-02-27 20:27:53,0,4,90.0,5,4,64.0,11.0,97.0,154,0
2015-02-27 20:32:53,0,1,70.0,6,0,61.0,12.0,84.0,131,1
2015-02-27 20:37:53,0,4,41.0,7,8,39.0,9.0,57.0,130,0
2015-02-27 20:42:53,0,5,24.0,4,4,61.0,17.0,62.0,100,0
2015-02-27 20:47:53,0,3,40.0,1,5,73.0,15.0,74.0,93,0
2015-02-27 20:52:53,1,2,26.0,0,2,62.0,4.0,72.0,95,0
2015-02-27 20:57:53,0,8,36.0,2,11,67.0,16.0,60.0,109,2
2015-02-27 21:02:53,0,6,36.0,4,5,51.0,11.0,62.0,92,3
2015-02-27 21:07:53,0,13,31.0,0,2,81.0,6.0,74.0,111,2
2015-02-27 21:12:53,0,5,34.0,2,3,87.0,15.0,74.0,99,0
2015-02-27 21:17:53,0,3,40.0,4,3,52.0,6.0,67.0,122,0
2015-02-27 21:22:53,0,2,30.0,3,2,62.0,8.0,57.0,89,0
2015-02-27 21:27:53,0,5,70.0,9,6,108.0,10.0,52.0,108,0
2015-02-27 21:32:53,0,2,40.0,1,8,76.0,7.0,59.0,106,1
2015-02-27 21:37:53,0,1,36.0,9,12,57.0,11.0,52.0,118,2
2015-02-27 21:42:53,0,2,31.0,1,15,68.0,13.0,83.0,110,0
2015-02-27 21:47:53,1,7,42.0,2,7,59.0,14.0,92.0,138,0
2015-02-27 21:52:53,0,2,31.0,3,7,68.0,6.0,79.0,111,1
2015-02-27 21:57:53,0,4,32.0,3,4,54.0,7.0,79.0,123,1
2015-02-27 22:02:53,0,5,24.0,4,3,56.0,8.0,84.0,120,2
2015-02-27 22:07:53,0,1,32.0,8,5,56.0,6.0,95.0,89,1
2015-02-27 22:12:53,0,2,32.0,7,6,75.0,2.0,79.0,88,1
2015-02-27 22:17:53,0,0,33.0,6,7,69.0,8.0,71.0,147,0
2015-02-27 22:22:53,0,1,27.0,6,5,51.0,7.0,68.0,129,0
2015-02-27 22:27:53,0,1,31.0,6,5,58.0,11.0,67.0,141,2
2015-02-27 22:32:53,0,2,25.0,5,2,60.0,18.0,62.0,129,1
2015-02-27 22:37:53,0,1,24.0,2,7,81.0,13.0,77.0,81,0
2015-02-27 22:42:53,0,2,21.0,2,4,65.0,9.0,64.0,90,1
2015-02-27 22:47:53,0,1,25.0,1,4,70.0,11.0,58.0,90,0
2015-02-27 22:52:53,0,4,13.0,5,5,64.0,11.0,57.0,96,1
2015-02-27 22:57:53,0,3,27.0,13,4,53.0,50.0,157.0,95,1
2015-02-27 23:02:53,0,2,37.0,4,0,65.0,11.0,75.0,85,0
2015-02-27 23:07:53,0,8,20.0,1,2,65.0,8.0,72.0,96,0
2015-02-27 23:12:53,0,1,17.0,5,1,66.0,9.0,53.0,114,0
2015-02-27 23:17:53,0,3,18.0,8,5,48.0,8.0,52.0,60,1
2015-02-27 23:22:53,0,6,20.0,3,6,46.0,12.0,58.0,73,1
2015-02-27 23:27:53,1,2,24.0,0,4,50.0,13.0,54.0,88,1
2015-02-27 23:32:53,0,4,27.0,4,6,43.0,5.0,65.0,106,0
2015-02-27 23:37:53,0,2,58.0,3,4,45.0,9.0,74.0,103,2
2015-02-27 23:42:53,0,3,80.0,3,4,49.0,4.0,44.0,115,0
2015-02-27 23:47:53,0,1,51.0,3,3,49.0,1.0,81.0,90,0
2015-02-27 23:52:53,0,7,42.0,4,9,50.0,12.0,51.0,93,0
2015-02-27 23:57:53,0,5,39.0,2,8,57.0,15.0,80.0,96,1
2015-02-28 00:02:53,0,8,28.0,4,1,39.0,8.0,77.0,106,0
2015-02-28 00:07:53,1,5,27.0,2,4,35.0,16.0,51.0,91,1
2015-02-28 00:12:53,0,4,22.0,5,1,63.0,11.0,57.0,78,0
2015-02-28 00:17:53,0,3,21.0,4,4,62.0,10.0,44.0,86,1
2015-02-28 00:22:53,0,3,20.0,1,6,66.0,11.0,67.0,90,1
2015-02-28 00:27:53,0,5,35.0,3,2,52.0,6.0,77.0,96,0
2015-02-28 00:32:53,0,1,25.0,2,4,48.0,4.0,54.0,74,0
2015-02-28 00:37:53,0,8,16.0,0,1,66.0,7.0,54.0,96,0
2015-02-28 00:42:53,0,5,15.0,1,2,58.0,8.0,66.0,114,1
2015-02-28 00:47:53,0,6,22.0,1,3,41.0,9.0,54.0,99,0
2015-02-28 00:52:53,1,3,104.0,3,8,36.0,8.0,52.0,77,0
2015-02-28 00:57:53,0,2,18.0,2,1,40.0,12.0,70.0,83,0
2015-02-28 01:02:53,0,5,13.0,8,1,72.0,5.0,63.0,80,0
2015-02-28 01:07:53,1,9,16.0,5,2,72.0,5.0,44.0,85,0
2015-02-28 01:12:53,0,7,14.0,3,1,64.0,4.0,59.0,81,0
2015-02-28 01:17:53,0,8,20.0,6,5,73.0,2.0,60.0,89,1
2015-02-28 01:22:53,0,6,17.0,8,5,69.0,8.0,63.0,80,0
2015-02-28 01:27:53,1,7,25.0,1,4,78.0,4.0,62.0,79,1
2015-02-28 01:32:53,0,6,16.0,2,4,58.0,4.0,52.0,76,0
2015-02-28 01:37:53,0,5,13.0,0,2,77.0,8.0,33.0,97,0
2015-02-28 01:42:53,1,1,12.0,4,1,133.0,3.0,66.0,86,0
2015-02-28 01:47:53,1,3,12.0,2,9,88.0,10.0,63.0,96,0
